Hello!	Hi! How are you?
Pork chop	Cool. Do you have any other hobbies? 
Cool. Do you have any other hobbies? 	Nope
hi	Hello! How are you?
Hello! How are you?	Not bad. Excited to start my new job!
Not bad. Excited to start my new job!	That is awesome! I'm a party planner. What do you do for fun? 
That is awesome! I'm a party planner. What do you do for fun? 	I run
I run	That sounds like fun! I volunteer at the local animal shelter.
That sounds like fun! I volunteer at the local animal shelter.	what kind of work is it?
what kind of work is it?	It is a doorman at a party store. 
It is a doorman at a party store. 	no, I mean the animals
hi	anyone there?
anyone there?	hi how are you today? i am good. 
hi how are you today? i am good. 	I'm good, and you?
I'm good, and you?	nah, just kidding 
nah, just kidding 	yes i am. i just finished playing some sports. 
yes i am. i just finished playing some sports. 	which sports?
which sports?	i work in a computer company. i love american sports. 
i work in a computer company. i love american sports. 	American sports are funny to watch. I don't understand the rules, but that makes it even more funny
American sports are funny to watch. I don't understand the rules, but that makes it even more funny	what do you do for a living? i work for a company. 
what do you do for a living? i work for a company. 	Yes, a computer company. You told that already. I'm still studying
Yes, a computer company. You told that already. I'm still studying	basketball, basketball, hockey, basketball. you name it. 
basketball, basketball, hockey, basketball. you name it. 	looks like we are getting out of sync. Bye!
looks like we are getting out of sync. Bye!	do you have any pets? i've two dogs. 
do you have any pets? i've two dogs. 	what are you studying? are you a programmer? 
what are you studying? are you a programmer? 	ok have a great day. have a great day! 
what was your work?	It was busy. I had to cook all day. 
It was busy. I had to cook all day. 	How was spain?
How was spain?	It was great. I had a lot of fun.
It was great. I had a lot of fun.	What did you do in spain?
Hi	Hi there, how are you? 
Hi there, how are you? 	Thanks I'm fine, how are you
Thanks I'm fine, how are you	Hi! I'm doing well. How are you?
Hi! I'm doing well. How are you?	What are you doing
What are you doing	I 'm doing well, thanks. What do you do for fun?
I 'm doing well, thanks. What do you do for fun?	I cook sometimes
I cook sometimes	I like to skateboard. What you growing in the garden?
I like to skateboard. What you growing in the garden?	I do not have one
I do not have one	Oh, I see. What do you grow?
Oh, I see. What do you grow?	I don't grow anything, I have an yacht
I don't grow anything, I have an yacht	Oh, that 's cool. Do you have any hobbies?
Oh, that 's cool. Do you have any hobbies?	I love food
I love food	What kind of food do you like?
What kind of food do you like?	Love to cook vegetarian
Love to cook vegetarian	I see. 
I see. 	How
How	Oh, cool.
Oh, cool.	I apologise, have to go
I apologise, have to go	That's OK.
That's OK.	Goodbye
Goodbye	Bye! How tall are you?
Hey !	hello there how are you? do you like dogs? 
hello there how are you? do you like dogs? 	Good ! I like dogs, I grew up in a farm
Good ! I like dogs, I grew up in a farm	that is cool. i've a german shepard. 
that is cool. i've a german shepard. 	what is your dog's name ?
what is your dog's name ?	his name is pepper. do you have any pets? 
his name is pepper. do you have any pets? 	I used to have a dog but he died....
I used to have a dog but he died....	that is so sad! do you watch nhl hockey? 
that is so sad! do you watch nhl hockey? 	no... not a big fan of sport ?
no... not a big fan of sport ?	no, i love watching it. i love the nhl. 
Hi	hello !
hello !	hello , how are you ?
hello , how are you ?	good, what about you ? What are you up to ?
good, what about you ? What are you up to ?	i just got back from the gym .
i just got back from the gym .	oh you go to the gym to lift weights ?
oh you go to the gym to lift weights ?	no , i do not . i do not have a lot of energy .
no , i do not . i do not have a lot of energy .	what do you like to do ?
what do you like to do ?	i like to play video games .
i like to play video games .	what kind of video games ?
what kind of video games ?	mostly video games . i like to play games .
mostly video games . i like to play games .	ok
ok	what do you do for a living ?
what do you do for a living ?	I work at my parent's farm
I work at my parent's farm	do you have any pets ?
do you have any pets ?	i used to have a dog.. he died
i used to have a dog.. he died	i am sorry to hear that .
i am sorry to hear that .	do you ?
do you ?	yes , i do . i love to read .
yes , i do . i love to read .	what kind of readings ?
what kind of readings ?	i am a computer technician .
Hi!	hello. how are you doing today? 
hello. how are you doing today? 	Just returned from the nice walk in park.
Just returned from the nice walk in park.	that sounds like fun. i'm just reading a book. 
that sounds like fun. i'm just reading a book. 	I also like reading books 
I also like reading books 	what do you like to read about? i love movies. 
what do you like to read about? i love movies. 	I also like movies.
I also like movies.	What is your favorite movie?
What is your favorite movie?	me too. what is your favorite? 
me too. what is your favorite? 	i don't really have a favorite. do you have any? 
i don't really have a favorite. do you have any? 	My favorite is Friday.
My favorite is Friday.	oh, i love that movie too. i watch it every week. 
oh, i love that movie too. i watch it every week. 	What is your occupation?
What is your occupation?	i'm a pa. how about you? 
i'm a pa. how about you? 	I'm a doctor and looking for new opportunities.
I'm a doctor and looking for new opportunities.	that is great. what are you looking for? 
that is great. what are you looking for? 	For position of GP
For position of GP	that is awesome. i am looking for a job. 
that is awesome. i am looking for a job. 	What you can do?
What you can do?	i work for a company that specializes in video games and computers. you? 
i work for a company that specializes in video games and computers. you? 	I'm a general practitioner.
I'm a general practitioner.	oh wow! i am also a pa 3 months ago. 
Hi	hi how are you ?
hi how are you ?	i am doing well . how are you ?
i am doing well . how are you ?	quite well , what do you do for living ?
quite well , what do you do for living ?	i work at a restaurant .
i work at a restaurant .	which resturant ?
which resturant ?	i have a lot of friends .
i have a lot of friends .	me too
me too	what do you do for a living ?
what do you do for a living ?	i am computer science student
i am computer science student	that is cool . i am a computer programmer .
Hi	Hi
Hi	hello , how are you ?
hello , how are you ?	Good, a little bored at work.  How are you?
Good, a little bored at work.  How are you?	i am not sure what you mean
i am not sure what you mean	I am good. How are you?
I am good. How are you?	i am good . i just got back from the gym .
i am good . i just got back from the gym .	Do you like the gym?
Do you like the gym?	i do not like it .
i do not like it .	Why not?
Why not?	because i am not a big fan of my family
because i am not a big fan of my family	You go to the gym with your family?
You go to the gym with your family?	i do not have a lot of time for that .
i do not have a lot of time for that .	I like soda
I like soda	soda is my favorite soda .
soda is my favorite soda .	Sorry, i mean i do not drink soda
Sorry, i mean i do not drink soda	i drink soda and drink soda
i drink soda and drink soda	End
End	do you have any hobbies ?
do you have any hobbies ?	I like to eat hamburgers and french fries
I like to eat hamburgers and french fries	i like to eat pizza . i love it .
i like to eat pizza . i love it .	Why do you love pizza
Why do you love pizza	i love pizza and pizza
Hello	hello there. how are you? 
hello there. how are you? 	Good thanks. How are you?
Good thanks. How are you?	i love winter. i love the cold weather. 
i love winter. i love the cold weather. 	That's nice.
That's nice.	Where do you live?
Where do you live?	what do you do for a living? i'm a professional professional cat lover. 
what do you do for a living? i'm a professional professional cat lover. 	I see. I'm a music producer. I produce music for artists.
I see. I'm a music producer. I produce music for artists.	i live in new york. what about you? 
i live in new york. what about you? 	I live in a small town in ohio.
I live in a small town in ohio.	What part of New York do you live in?
What part of New York do you live in?	i love music. do you have pets? 
i love music. do you have pets? 	I love music too. I love rap. What music do you like? I have a dog called Charlie. He's the best!
